id,email,first_name,patronymic,surname,hash_password,role
1,kuznetsov1@mail.ru,Глеб,Егорович,Кузнецов,$2b$12$Kbh2MJU6rEw/6UOzq7as3OKLbLZGsiOHnfw5heDzmbDSbK2qirR3m,user
2,yakovlev2@mail.ru,Арсений,Дмитриевич,Яковлев,$2b$12$Kbh2MJU6rEw/6UOzq7as3OKLbLZGsiOHnfw5heDzmbDSbK2qirR3m,user
3,melnikova3@mail.ru,Зоя,Аркадьевна,Мельникова,$2b$12$Kbh2MJU6rEw/6UOzq7as3OKLbLZGsiOHnfw5heDzmbDSbK2qirR3m,user
4,filatova4@mail.ru,Ксения,Игоревна,Филатова,$2b$12$Kbh2MJU6rEw/6UOzq7as3OKLbLZGsiOHnfw5heDzmbDSbK2qirR3m,user
5,zhdanova5@mail.ru,Раиса,Юрьевна,Жданова,$2b$12$Kbh2MJU6rEw/6UOzq7as3OKLbLZGsiOHnfw5heDzmbDSbK2qirR3m,user
6,belova6@mail.ru,Нина,Олеговна,Белова,$2b$12$Kbh2MJU6rEw/6UOzq7as3OKLbLZGsiOHnfw5heDzmbDSbK2qirR3m,user
7,kulagina7@mail.ru,Екатерина,Сергеевна,Кулагина,$2b$12$Kbh2MJU6rEw/6UOzq7as3OKLbLZGsiOHnfw5heDzmbDSbK2qirR3m,user
8,maksimov8@mail.ru,Игорь,Григорьевич,Максимов,$2b$12$Kbh2MJU6rEw/6UOzq7as3OKLbLZGsiOHnfw5heDzmbDSbK2qirR3m,user
9,panina9@mail.ru,Тамара,Тарасовна,Панина,$2b$12$Kbh2MJU6rEw/6UOzq7as3OKLbLZGsiOHnfw5heDzmbDSbK2qirR3m,user
10,osipov10@mail.ru,Виктор,Геннадьевич,Осипов,$2b$12$Kbh2MJU6rEw/6UOzq7as3OKLbLZGsiOHnfw5heDzmbDSbK2qirR3m,user
11,semyonov11@mail.ru,Артём,Григорьевич,Семёнов,$2b$12$Kbh2MJU6rEw/6UOzq7as3OKLbLZGsiOHnfw5heDzmbDSbK2qirR3m,user
